User,Stars,Date,Text,Title
domagojomrcena,10,7 March 2024,"Funny, entertaining and brilliant. From the first episode you could tell the masterpiece of Guy Ritchie! Recommend everyone! I watched the movie in 2019. Also it was very fun and fresh in that moment. When the series was shown to the world, I was a little skeptic about where will the story go. As I said, from the first to the last episode, you are on your feet waiting for another twist and entertainment. In my opininion, show is for absolutely everyone because your mood goes up, not down, just by watching it. The story is great, acting is great and the whole setup is just fantastic. Always been a fan of Ritchie, this was just confirmation why was that.",Brilliant!
BrianQuinn81,10,22 March 2024,I don't understand any negative reviews on this. I went in with a pessimistic mindset but was hooked and enjoyed every second of it. Each episode became increasingly more interesting and tied together very well. I highly recommend. If you saw the movie I wouldn't associate it too much with the show. This was much better. The lead actor and actress were familiar faces that I didn't expect much from initially but they were absolutely perfect for the roles. There were also familiar faces in the supporting roles that fit well. Definitely give it a try. Of all the things I've watched this year this was up with the best of them.,Surprisingly intriguing. Loved it.
eoinageary,8,7 March 2024,"Yea this is exactly what I was expecting from the show and I'm really pleased.The story is of Edward who's father passed away, not to mention is now through the will the next Duke in the family, when he uncovers his fathers secrets that there is a weed farm on their land, Edward trying to bale his brother Freddie out of trouble finds himself falling deeper and deeper into the world of crime while seemly trying to shake it off.The show is funny, it's good proper humour that you don't get much anymore and Guy Ritchie has an amazing style that suits this show down to the ground.The acting is good, some amazing side characters and support throughout, I love Chunky he reminded me of Taj from come fly with me, the family is great and the ""families"" are good.The story dragged a little here and there but even at that there are enough good progression moments to award it a good mark. The action is good I wanted a tad bit more, overall very enjoyable, 8/10.","Posh Accents, Cool Suits, and Lots of Whisky"
mo94462,10,9 March 2024,"The story ranks alongside Guy Ritchie's best and most entertaining work. It's great to see the Ritchie story-telling style spread across an 8-episode season, and it works well in this longer format. There's more time to really get to know the main characters, and there's more room to develop a broader range of gangland characters. A thoroughly bingeable Ritche romp. The series is unhinged in the best way. Cast is brilliant. Even without romance the chemistry between Theo James and Kaya Scodelario is off the charts. The final episode wraps up nicely but I still think there's room for more.10/10.","Wow, what did I just watch!!"
scribbleheart-78583,10,12 March 2024,"There are dukes and princesses and commoners and criminals (who's to say which are which?) There's an understandably frustrated brother whose every attempt at fixing things goes desperately wrong, much to our collective delight. There are crazy aged aristocrats with machine guns shooting at busloads of tourists. There are fistfights, gunfights, knife-fights, explosions, intentional and accidental and near- murders, a just-enough-but-not-too-much amount of gore, and a palate-cleansing sprinkling of love interest. Everything you could possibly want from Guy Ritchie at the peak of his craft, and more, thanks to a superb cast and a sparklingly witty script. Pure pleasure!","A mad, juicy, delightful romp peopled with real and ""accidental"" criminals"
mabilokojeime,6,9 March 2024,"At moments this soap opera feeos like watching someone play GTA. Each epsiode ia like a level in the game - at the start of the episode you hear the mission of the level, and then you watch how to finish it.It's really that level of silliness and plot believability.The acting is grand, it realy is. The script has its moments. But overal ita a caricature of Guy Ritchie. As do he is imitating himself, rather poorly.I'm not saying you shouldn't wathc it, pleasebdo. It's a fun watch if you arw expecting plots like Miami Vice, or aforementioned the GTA game. If you watch with these expectations you will have a decebt time watching.",Half soap opera half Guy Ritchie
sammig-66515,10,26 March 2024,"The Gentlemen was wildly entertaining. If had everything you could want in a bingeable Netflix series. A compelling plot, attractive and interesting characters, a thrilling crime (or several), family drama, beautiful scenery, drugs, love of money, I could go on and on. It was superbly told and kept me wanting more every episode. I had to turn it off and go to sleep some nights to deter myself from binging the rest of the episodes in one sitting.All that to say that I can't say enough good things about this show and I really hope it's back for another season. I NEED (not want) to know what happens next! Especially to Jimmy. IYKYK.",It was perfect.
bjarias,7,16 March 2024,"... a well received-rated Netflix series, The Gentlemen is the most highly rated production Scodelario's been a part since Skins, which ran from 2007 to 2013... The Gentlemen is pretty much a formula work, and hers a complimentary fit... not acting as much as filling a role that doesn't change-require-much, at least through the first several episodes watched... her partner in this caper Theo James, now forty years old appears younger, looking nearer her age than his own... they both do well together, and this all could continue on into another season, but according to sites like Next Episode it has been 'canceled/ended'.. oh well, remaining episodes to be watched need-might give a clue as to its apparent early-demise.","... watch two episodes, then decide if to continue"
Jason-cross3,3,22 March 2024,"After looking at all the reviews I honestly thought this would be better.It turned out to be
-Predictable
-Stupid at times( over the top drama where it wasn't needed)
The story line was outrageous at times and not needed. Especially the guy washing the money with corn dogs.-Some of the actors were terrible also and some of the actors were way to talented to be featured in such a bad series.-The ending was also terrible. I could predict it from about half way through the second episode.I was expecting way more but this didn't live up to it. It seems that you will either love this or hate it judging by other reviews.",Overhyped and very predictable
vovazg,10,17 March 2024,"When it comes to shows following the movies and vice versa rarely it happens that they manage to hit the right spots other than milk the cow goal. Being a long time admirer of Guy Ritchie he basically never disappoints at least when it comes to stories told in a Guy Ritchie England universe. It's Gentlemen world but each episode stands for it self while a main story develops throughout the first season. In that way we are introduced with all kinds of specific Guy Ritchie type of characters that are the antagonists of that episode which I find refreshing and there are no filler episodes. The new cast doesn't need a lot of time for introduction. Due to a specific Guy Ritchie type of dialogs they go quickly under your skin and it's really well picked cast. Theo James gave his best performance in the White lotus second season and he's really natural in playing posh, high class society that no wonder people are calling for him being a candidate for new James Bond. It's not the snobbish class vibe but the raw and ordinary combined with the world of the rich that comes out of him. If Theo is 40% then Kaya Scodelario is the other 40% of the show. And the all kinds of characters make the remaining 20% for a full on lively and colorful spectrum of the story. One of my biggest joys is to see the always remarkable Vinnie Jones that has that stealing the screen presence and it wouldn't be the same without him. One of the best things aside of the rural English scenery, music and the yellow font prologue announcement is the flashback storytelling by various characters describing what happened to them rather than seeing it in one take continuity. Altogether this is one of the Netflix best shows by far and it might not be a perfect 10 (and why should something be perfect anyway?) but I give it that score just to add a tiny bit of my contribution to point out how the shows should look like. It's a rare and endangered species this one and that's why is a treasure.",Rate it a 10 just because we are desperate for more of these kind of entertainments
vijayr-260-81632,9,19 March 2024,"Worth watching , really good and stylish . Not writing more and taking away the suspense 👍. Story is nice . Presentation is good . Character performance are also excellent. Duke and Duke family and Glass family are exceptionally fantastic.It's worth watching . I believe some of the scenes are brilliant portrayed . Additionally speaking about the dialogues are exceptionally well .I watched series in 2 sitting , but it will push you to see it full in one sitting .All together , it's nice and worth watching , a brilliant applause 👏 to the whole team , who were part of this wonderful and good series.","Worth watching , good and stylish and thrilling"
abhishekkafle-19722,10,27 March 2024,"Best comedy crime series I have watched after ages. If 'the business' and 'the kingsman' had a child- this series would be that child. A fabulous mixture of criminal activities and aristocracy, this series perfectly managed to mix and blend those two worlds together seamlessly, as though they were always meant to be one.The cast is outstanding! Literally every single character was fantastically well written and acted, making you truly believe the nuances and complexities of each person and their relationships with each other, without it needing to be explicitly touched on. Very clever.This series is everything you would come to expect from something affiliated with Guy Ritchie, it's classic, timeless, violent, graphic and tells a gripping story.Highly recommend watching this. Having not seen the movie myself, I can say this works as a stand alone series- however, I am off to watch the movie now, that's how much I loved the series. I hope there's more to come.",Best comedy series so far in 2024
xofifab,10,26 March 2024,"Gentleman' delivers an exhilarating viewing experience, boasting a stellar cast and captivating soundtrack. From start to finish, the series keeps viewers on the edge of their seats with its thrilling storyline and well-developed characters. Each episode is a rollercoaster ride of suspense, intrigue, and unexpected twists, making it impossible to look away. With top-notch performances and a soundtrack that perfectly complements the action, 'Gentleman' is a must-watch for anyone craving excitement and suspense in their binge-watching lineup. Really good show with fun action and hilarious storytelling. This was a very entertaining season to watch and recommend everyone check it out. It definitely deserves a second maybe even a third season.",Waiting for the renewal !
kmw-36682,10,7 March 2024,"Don't get me wrong, Theo is an amazing British actor but after seeing his coke performance in the inbetweeners, I just couldn't get the poo out of my head. I always associated Theo with that scene.I had yet to associate him with anything else. Well that was until now. Bravo Theo.Nice to see our beloved crock / zombie fighting Kaya back in action she has never let us down with her amazing talents.Once again Guy has delivered a 10 out of 10 show.I have watched The Gentleman film 4 times and when I heard there was a TV show I thought it was going to have to be amazing in order to top the film, well it is. I am 2x episodes in and I'm not stopping binging until all 8 episodes are done.",Finally got the poo out of my head.
Pequod88,9,27 March 2024,"Very entertaining. Quite satisfying. Well cast with a strong mix of action, tension, witty banter, and suspense. Theo James avoids the pitfalls of the role, not playing Eddie as too macho, preening, or invulnerable. Kaya Scodelario is a perfect co-star: smart, cool, and calculating, while not at all above the fray.While the series loses a little steam as it pivots to wrapping up in the final two episodes, there is a ton to like and only a few quibbles. Pleased that it avoided leaning too hard on Eddie getting Freddy out of jams. Vinnie Jones does a lot with a softer role possessing more colors than usual. The smoldering chemistry with Joley Richardson is a welcome thread. The mayhem and eye candy one expects from Ritchie are present, of course, and I am eager for more.While the checking of boxes and setting up for season two drained a bit of spark late in the proceedings, I am on board. The notion of Ray Winstone and Giancarlo Esposito holding forth at the ""pigeon porch"" alone will be worth the price of admission. Eddie and Susie will simmer and spark before the fire rages. Susie may be the smartest woman to ever grace a Ritchie project. More, more, more! Enthusiastically recommended.",Sign Me Up for Season Two
colinlairdcampbell,7,8 March 2024,"While this is a very watchable series and the cast is pretty good it is a bit of a let down.The predictable ineptitude of many of the characters is shallow and not worthy of a British series, I expect better and this series fails to delivery on many levels.This becomes obvious in episodes 2 & 3. I have not seen episode 4 yet, but predict that Mr. Johnston (with a T) is behind the hijacking of the dope shipment. He will of course cause more mayhem in coming episodes that of course will lead to yet more incompetence from the Dukes brother and associates. One can hope that this series will develop into something a bit more deep, but alas the premise of the whole series seems to be built around the duke saving the day each episode.There seems to be a plotline being built around the duke getting out of the game and I feel he will try but alas never be fully able to break the chains of criminality that have developed around him.I wish him the best and watch the rest of the series with further anticipation that will fail to be met.It is a good watch all the same considering the lack of competition in English speaking dramas of any type on any media these days.So after all that it is still a good watch and anyone who likes humour in drama just a bit will enjoy this series, I think.","Entertaining, but predictable"
vojapod,10,25 March 2024,"Hilarious over the top antics, complicated relationships, blood, violence, true to form British Gangsters, throw in some weed and stoners, amazing dialog, amazing sets/British estate's and layer it all with a captivating story = another Guy Ritchie hit. I've binge watched it now multiple times and it's still hilarious, gruesome and action packed with great characters . I liked it better than the movie because there's more time for complex and layered plot elements to develop and unfold. It's a very fun and engaging watch. Nice show to watch when you want a bit of a break from heavier (intellectually or emotionally) or more intense shows. A jolly good time. Season 2.","Amazing, totally worth the watch"
berestov,6,11 March 2024,"There is little connection with the 2020 film of the same name.Guy Ritchie directed the first 2 episodes himself and wrote the script for the entire season.It looks secondary, because the Guy Ritchie-style series has been coming out for a long time: BrassikIn principle, you can limit yourself to two episodes, because then the series look like fillers that are little connected to each other. The characters do not have any global problem in the course of the plot.The main role that went to someone from the Divergent trilogy is annoying at first, but then you get used to it and you even seem to believe the acting.This is Guy Ritchie's worst work since the wonderful film Swept Away, because it's impossible to fall below that level.","Guy Ritchie tried again to shoot something in the style of Guy Ritchie, but it didn't work out"
simondmfisher,2,15 March 2024,"Representative of what is becoming standard Netflix output; expensive and lavish production with nothing beneath the veneer.Half decent acting, but pointless - one dimensional - characters.Cliches abound; upper class thickos and ne'er do wells (never without a glass of whisky in their hands) wall to wall 'Mockney' gangsters (Ray Winstone is going to get himself typecast if he's not careful) bumbling stoners (is anyone really that stupid) 'travelers' who steal things (but are really salt of the earth) and a variety of villainous 'Scousers' (I really like Pearce Quigley, but his accent seemed to veer from one end of the East Lancs Road, to the other) Romanians (heavily tattooed obvs) and others (I think there were Columbians and Belgians in there somewhere too).It was almost as if Ritchie had started out with a tick list; Drug dealers? Check. Boxing gym/fights/promoter? Check, check, check. Lots of brown alcohol in expensive glasses? Check. Bent prison system? Check.The list is yawningly endless.Look, I know it's just a story, but are there really people in the UK who EXPORT drugs to the continent? Really? They ship drugs to a bigger landmass, with a better climate for growing weed - and they can do this cheaper?By the way, who was in charge of continuity? One minute it's winter, then summer, then winter, then spring, then winter. Check out the beaten boxer too, one minute he looks like he's had the whole makeup team working on his eyelids, then ten minutes later - nothing!I get that people will love it, but it's rubbish.",Style over substance
grimmfilment,9,30 March 2024,"Guy Ritchie is as unique a filmaker as they come. His style of writing and directing is easily recognized, kind of like the writing and directing of Tarantino. Just like you know when you're watching a Tarantino movie, you also know when you're watching a Ritchie movie. The plot, the dialogue, the direction, the editing, it's all there.The Gentlemen is no exception. It perfectly fits with the rest of Ritchie's top work in Lock, Stock and Two Smoking Barrels, Snatch, RocknRolla and The Gentlemen, the movie. The Gentlemen, the movie, combined Ritchie's style with McConaughey presence and in the process created something that inspired this show. Luckily, Ritchie is not one of the derivative lot, he doesn't take his own good idea and then stretches them like plenty of movie makers do when they get a chance to serialize their work.This iteration of the Gentlemen follows Eddie Horniman, a United Nations peacekeeping officer and the younger son of the Duke of Halstead. After the death of his father, Eddie surprisingly inherits the title of Duke over his older brother, who has a bit of a cocaine problem, and the entire Halstead estate. He is soon approached by Susan Glass, the de facto head of Glass' criminal syndicate, played quite well by Kaya Scodelario. Susan reveals to Eddie that her enterprise had a deal with his late father in the form of an underground marijuana farm colcealed on his estate. Susan grows and sells the weed, Eddie gets a cut, everyone happy.The show kicks off from the start and never lets off. It is jam packed with Ritchie's usually colorful characters and their various quirks. Theo James, usually stuck playing eye candy characters, shines as the Duke of Halstead. He has the looks and demeanor of an aristocrat but the competence to navigate the world he's been thrown into somewhat unwillingly. Kaya Scodelario also shines as Susan Glass. He talent was never in question but she plays the role of a daughter of a crime syndicate with the confidence and capability that's wonderful to see. James and Scodelario are brilliant when together on the screen.If you love Ritchie, you'll love this. It has everything you're used to out of a Ritchie story. It is also an indicator to Netflix what can happen when they give money to a talented man and let him run with it.","Top quality show and a note to Netflix, this is what happens when you give money and a platform to a talented moviemaker"
hkznybg,10,7 March 2024,Only up to episode 3 and can safely say it's been worth the wait.Guy Ritchie is such a talented writer.Gives us year in year out stuff we crave. Also Vinnie is back which is a huge bonus.Also another added plus is that you can watch the full lot in one binge and you don't have to wait a week for each one to drop. Another win for releasing it on Netflix.Keep chucking out the great shows and films guy. Everyone should appreciate this man as he will ne sorely missed when he's not here to quench our needs any longer. Can't wait to watch the rest today already cancelled all of my plans hahahaha.,Been waiting for this and did not disappoint
Birmunguzzi,10,10 March 2024,"I didn't expect that I'm gonna be that hooked on TV Series to watch entire season in almost one day. Entire time I was watching with smile on my face like a little kiddo, episode after episode having fun which I didn't have for a long time. It was suprising, how good that was and now I feel pretty empty with the feeling that I don't know if anything in that specific genre gonna feel the same.Every character in that show was different in some way even if they have little time in the screen. I think the entire cast was amazing.The style of directing by Guy Ritchie is different and I love it, I wish it's not gonna be over and he have more suprises for us in the future.",Perfection of Action and Comedy
alexboyteh,10,28 March 2024,"The Gentlemen is a British TV series that tracks the lives of a group of upper-class individuals as they confront some very unusual challenges of modern society in England. The show is filled with drama, intrigue, action, and humor, making it a must-watch for fans of the genre.The cast features some of Britain's finest actors, who bring a sense of authenticity and depth to their characters. Each member of the ensemble cast delivers a standout performance, capturing the complexities and nuances of their respective roles.Sharp and witty writing combined with clever dialogue, in proper English language, keeps viewers engaged and entertained through each episode. The story line is humorous, full of twists and turns, keeping viewers on the edge of their seats as the plot is revealed and alliances are tested.The production values are top-notch, with stunning cinematography and beautiful scenery and decor, that transport viewers in the midlle of the story. The sound and music is impressive, capturing the admosphere and completing the narrative perfectly.Overall, ""The Gentlemen"" is a captivating and compelling television series that will appeal to drama audiences but also to the more action oriented ones. With its stellar cast, strong writing, and gorgeous production values, this show is definitely worth a watch.I hope that the series will be renewed due to the season finale ending, with multiple narrative threads unresolved, which offer the possibility of an additional 2-3 seasons.","The Gentlemen -""When The Lion's Hungry"""
crbeddows,9,25 April 2024,"I'll try to keep this brief...
Great story.Superb acting.Fantastic directing.Awesome picture.Fabulous locations.You will pay attention to the reviews dismiss them if you care.You will obey the hype of your friends telling you it's amazing and you'll end up watching it.My only gripe....
There's only a few episodes and before you know it, it'll be done........... and you'll be left wanting more.Great work to all involved
Thank you Mr Guy Ritchie.Oh and Mr Vinnie Jones.. You've pulled a blinder Sir.Please, please, please, please, please make a season two.We'll all be happy to wait for the perfect second season.",Leaves you wanting more.... more.... more.
elinsketer,7,9 April 2024,"Following on from an absolurely incredible movie, this show reboots the premise that set the bar incredibly high. The show starts off really engaging with the team moving from crisis to crisis, but starts to fall apart after too many characters come into play and plotlines get tangled and cease making sense. The final episode is quite frustratingly dull and at this point you realise many of the characters' motivations have stopped making sense.Loose seams aside, this is still a great fun show for weeknight watching.As is customary for this sort of thing, the various criminals you meet along the journey are fantastic characters and being a lot of fun and life to the show.","Great fun, but does fall apart towards the end"
Icarus-707,10,23 March 2024,"This series is basically the definition of a Guy Ritchie movie done right. Literally every episode is a standalone story that has a proper introduction, climax and conclusion, and yet it still adds to the bigger picture in some way. The style, the writing, the comedy and even the characters are just top-notch. The writing is just phenomenal, there's just something about Guy Ritchie's screenplay which is effortlessly funny. Given how the first season wraps up, I think there's still a lot more to explore in this fictional crime world set up by Ritchie's 2019 film. Hope they renew it for another season!",Peak Guy Ritchie!
MoalefSajad,7,24 March 2024,"Netflix is generally looking for maximum sales rather than story appeal and creating something new!Most Netflix productions are mediocre at best, and most of them you forget about after watching because it's so monotonous. Only luxury and wealth. The Gentlemen is completely different and may actually be one of the best shows I've ever seen.It can be said that superior acting, superior directing, superior writing, basically above everything else. Guy Ritchie is in perfect form here.The Irish writer-director beautifully showcases witty dialogue and complex, yet funny characters and their twists and turns and a solid storyline.It is suggested to sit and watch in peace.",The Hardest Thing Is To Be A Gentleman !
barrymw,4,19 March 2024,"I've seen this a hundred times before and usually in a Guy Ritchie effort. They all follow the same template and the characters are identikit replicas of previous films. Stoner imbecile f...s up - check, gang of scousers - check, Vinnie Jones playing caricature of Vinnie Jones - check, east European gangsters - Check. The list goes on and by half way through episode three I felt as though I was trying to walk waist deep through treacle. There just isn't any tension or excitement when you know that with each scheme/job/task it's going to go wrong and that will lead to an escalation.It's okay to dip in and out of but it does t really hold your attention . You could read a book at the same time and not miss anything.","Overlong, unoriginal and predictable"
vrave-97,10,3 April 2024,"This is in the top drawer.A gangster romp as only Guy Ritchie can make.No flaws.Beautiful.Sound is great.Funny.Exciting.A master piece.This shows we are in the Golden Age. You finish the series and you are left thinking how can anyone do better than this.I'll just have to keep my fingers crossed that there are more great things to come, from somewhere, anywhere. Let's hope.As to whether you might like it. Well like most great things if you aren't hooked in the first 5mins then dont bother, but if you are then the rollercoaster starts and you will be breathless for the next few nights until the binge is over.Enjoy.",Guy Ritchie is a genius
nbaartw,10,24 March 2024,"I liked this show. The Gentleman has good acting, a very good story and excellent filming. I loved it. Please make a second season! There are so many bad series nowadays, this one rices far above it. The humor is great to.The story of The Gentlemen is located in England. It is about the old aristocracy and the modern world and where they come together. It is filmed at great locations. The houses are awesome. The story is original and never gets boring or vulgar. Guy Ritchie made the Gentleman like some of his other movies, I like that. Let's hope Netflix will be making a second season, the first one was original and fun.",Awesome serie
mitika-93808,10,23 March 2024,"One of the raw content provided by Mr. Guy. From beginning till end it will take you to the world of crime, thriller and suspense with brutal scenes. All characters fitted well. The dialogues and cinematography is best. The areas where the entire series is focused looks marvellous.Must watch if you love crime and underworld series. The Gentlemen is all about dark world of crime and how to stand in front of criminal crowd.Sometimes you feel it a bit slow because of personal life scenes of characters but when it comes to the duke and miss glass part the story again runs in fast speed and you feel enjoying.",Must Watch
ianharrison747,8,25 March 2024,"That was fun, right from the start. It will never win any Biftas or Baftas, but will liven up a dull and dark night.Bit of a jigsaw but all the pieces mesh together sometimes like barbed wire. Ray Winstone is the fox throughout and there are also two Foxes in the cast.Relative new people. Kaya Scodelario And Theo James ooze charisma and bristle with friction. Even Vinnie Jones is impressive ! No acting lessons needed. Echoes of Snatch especially with the interesting travellers, although Brad Pitt would have been a fabulous guest.There is a great joke - one mustn't spoil it. All to be said is D. H. Lawrence would shuffle in his grave. Hats off to Joely Richardson for playing a magnificent game. Magnificent romp and circumstance.",'I'm just a gamekeeper Charlotte '
iaregamertom,8,7 March 2024,"This is a review after episode 5.I have just binge watched 5 episodes in one evening. On the one hand, this is like a more mature Guy Ritchie production, and this is coming from a slightly biased Guy Ritchie fan since of course lock stock and onwards.I would recommend watching the film ""the gentlemen"" first as it does give context on a lot of things but is by no means needed, not seeing that will not matter to you enjoying and understanding the series.If you have watched that, then you will like this, but this is a slightly more ""fun"" take on that world.For those that havent, this is a look into the gangster world working with the struggling nobility world of minor dukedom and their bills and responsibilities in the modern world where the costs are hitting even them.There is an element of ""really???"" to a sub plot or two, but if you overlook this and embrace the sometimes ridiculousness of certain elements of the story, its really fun to watch, I love it, I gave it an 8 based purely on my own personal enjoyment which I think is fair, from a pragmatic reviewer perspective taking every aspect in, acting, cinematography, plot etc, possibly a 6-7 depending, but I stand by my 8.Lastly, I love the subplot involving Vinnie Jones and. Joely Richardson, it was nice to see Vinnie in a more mature role and honestly I would've watched their story alone in a separate program without giving spoilers.Definitely not your typical Guy Ritchie addition but I like the direction he is going in his career.",Very fun watch
altereggo123,10,15 March 2024,"Let's see... This series glorifies and sugar-coats the violent world of drug dealing. Its characters are outlandishly weird. The plots are improbable. Also,, there is never a dull moment. The dialogue has a light touch, and the sets, costumes and overall look are gorgeous. It's impressive and maybe a little annoying that the characters are so fashionably attired and their surroundings so elegant in almost every scene. The soundtrack was great too, sort of like if Purcell had rewritten his King Arthur opera while on drugs.Guy Ritchie has a gift for mixing rough criminal elements with toffs in stately British homes. Or, alternatively, for one of the characters, making a term in prison seem like life on a country estate. Plot-wise, one can see the outlines of the ending forming early on, but each episode still contained surprises, and each was a visual treat to boot.My only concern is that, if there is a season 2, it may be anticlimactic. This was an exciting romp, and it will be hard to sustain.","Morally bankrupt, probably bad for your brain, and wildly entertaining."
markhall-34879,6,10 March 2024,"I liked this I will say from the start, but in truth it is a 2 hour film dragged out over 8 episodes.Some of the characters were a no no, especially Theo the main character, I still see him as the annoying rep from the Inbetweeners movie, Susie,Jack and Freddie however were exceptional. This may just be me if you haven't seen
The Inbetweeners movie, but I don't think he played anything different apart from the coksure fool.The film sorry series is a typical Guy Ritchie adventure, with too many characters that would probably not of been missed if they were not even mentioned in this series.Gus from Breaking Bad is as always a top actor, and Vinnie Jones although mot a great actor, never disappoints in his role.If there was a second series would I watch it YES, but I would rather they did it as a film.",Yes and No
aqawwam_8,10,7 March 2024,"The first 2 episodes were full of energy, adrenaline, and laughter. Guy Richie has proven once again that he is spectacular at producing high quality, entertaining, and addictive TV Shows.I hope the excitement continues in the remaining episodes.However, if it wasn't a limited series it would have been better as the writers could have expanded the story and explored various other ideas or storylines.Guy Richie's ""THE GENTLEMEN"" is very easily one of the best series I have watched in 2024.This series has a wonderful tone/cinematography with an exceptionally talented cast.This is a 10/10.",A Spectacular Masterpiece - 2024 (HM_8) !!!!
rwburkey-65775,7,3 April 2024,"The Gentlemen is filled with unique, interesting characters just as any of his previous films have shown. It is entertaining enough to continue through each episode, but there are many plot holes scattered throughout. This is the best Netflix Original show in a looooooooong time.The two main characters (Edward & Susie) have pretty good chemistry throughout the show and are a part of what makes the show interesting. Some characters are insufferable (Freddie & Jimmy).I really enjoyed the style of storytelling Ritchie choice for this show (a wink to Snatch & others) but some episodes lack realistic plots and lack logic.The sets used throughout the episodes are fantastic. The Manors used are beautiful, and there is a diverse set of places visited (did not see any green screens). The costume sets used are also spot on. Kudos to the costume director.Regardless, it is a show worth watching. As mentioned before, more entertaining than much of the garbage streaming services are pumping out.","If You Like Guy Ritchie's Previous Work, Worth Watching"
andrewharris-85229,2,9 March 2024,"The story is stupid. Nothing makes sense. Nobody in the story acts in a believable way. Netflix went overboard on their usual tack of taking moderately good premises and turning them in to garbage and they dragged poor Mr. Ritchie along with them.There's an old English estate that gets inherited and a stupid brother with a large debt. The plot drags us to crazy venue after crazy venue while trying to save the brother from himself.We have a drug kingpin who is meek and helpful like a schoolteacher. We have a weird groundskeeper who ends up as dull as a rock. It's just all wrong and it doesn't work at all.I love Snatch. I love Lock Stock. This muck is the high school drama club version of them. Don't expect anything like what was achieved with those movies, though this mess pretends to try.There are funny moments but that's as good as it gets.",Wow this sucks
adasgail88,9,18 March 2024,It's hilarious with chaotic charters and riotous action sequences. A refreshing and truly binge worthy series by Netflix. Guy Ritchie back with bang in this genuine dark comedy. Daft idiots thrown in English Aristocracy set up with multiple criminal gangs makes it thrilling and humors. It is a different take on aristocracy mixed with crime combined with witty dialogues. The one-liners and crazy charters play vital role in this laugh riot. Reminds some of the crime movies with maddening action sequences by lovable charters. Theo James portrayed his pivotal role smartly with all others making the series thoroughly enjoyable.,Top class dark comdey
zeki-4,8,16 March 2024,"I couldn't stop watching, and binge-watched all episodes. It has Guy Ritchie written all over it, meaning crazy characters, tongue-in-cheek dialogue, and a pacing that sometimes can be all over the place, especially in some of the side stories, like the episode with the young nazi lord, who has a dog that ends up eating... well, words can't describe how ludicrously funny this scene is.But it's all fun and games and you can tell that everyone involved in the cast had a blast making this. I haven't been this entertained by a Netflix show in a long time, and luckily it ends on a note almost promising us that there will be a second season.",Hitler's testicle!
t-d-t-m82,9,17 March 2024,Well this is very much signature GR. The great dolly-cameras. The close-ups. The guns. The old school London geezer actors. The amazing suits. The amazing locations. The vintage props and vintage sets. Wow. It's got all you need for a night of popcorn romance infront of the old black box and it's punching knock-out blows after knock-out blows that leave ya wanting more. It's brutal; it's gangland; it's raw and damn it's gritty!The lead protagonist is the fantastic Theo James as the DUKE or Eddie Horniman. Now you get where the show is going with this kind of funny play-on name. The show starts with his Dad passing. His brother; played by Daniel Ings; assumes he's going to inherit the estate and its main assets. Infact it goes very wrong for him. The hero Eddie receives the estate and in some bombshell twists finds out what is really going on. Then his brother's secrets come out. Then it starts going mental. I loved the pace and the chemistry between the fantastic Kaya Scodelario who plays Susie Glass and our Duke.Then you have the great Vinnie Jones as the groundsman extraordinaire and Ray Winstone is Bobby Glass; Susie's illustrious criminal father and then you have great supporting acting from Michael Vu as Jimmy; Joely Richardson as Lady Sabrina; Chanel Cresswel as the brothers' sister; Tam Horniman and Logan Dean does a fabulous job as Blanket and Giancarlo Esposito as the tough guy negotiator Stanley Johnson.It's got a lot of twists and turns and it keeps you wanting more after each episode. The violence is real and often comical and played to great methods. It's a really fun show and you just have to watch out the extra cinematography techniques which Richie loves to use. The pace is stunning and 8 parts soon go by too fast. It's a fabulous show and I enjoyed it more than the movie. Richie you fine god-damn aging wine. You've done it again!,Richie Nails It Again
web-534-393830,10,19 March 2024,"Guy Richie is so back with a jucy fresh preposterous series that mesmerised my tribe for a week. We gave it a try despite the lousy synopsis and hesitant first episode but swallowed season 1 in only 4 days. Theo James and Kaya Scodelario lead the story impeccably. Eddie and Susie have this successful tension and awkward synergy in an endless rollercoaster, and Daniel Ings successfully makes us hate and love Freddy as if it was real. Joely Richardson and compassionate character Lady Sabrina balance the story without disappointing. And Vinnie Jones as Geoff is one of my favorite characters. What a man. Honestly I should mention everybody, Giancarlo Esposito was born to portrait Mr Johnston. With brutal contrat in the music and a spectacular setting, this is a jewel in 2024 and deserves a lot more of it. A lot more of Guy Richie!",10x Exceeds the synopsis
ahalool2001,10,18 March 2024,"Time well spent, pure first class entertainment sprinkled about with Guy Ritchie's special touch. You will find cleverly thought out characters, great actors, beautiful settings and a very good story. Fun, comedic, yet dark in a way that manages to not generate heavy or negative emotions from the viewer. I love a morally ambiguous character that I can root for.Considering it's Netflix putting it out, it might just be in that minority of shows that are actually so high quality that anyone, regardless of their usual preferences, can enjoy. I was a fan of the 2019 movie, and while that did not disappoint, the story in this series, is quite a bit more complex and developed, though it it easy to follow. Be on the lookout for a few easter eggs in tribute to another great series.If you want to relax and entertain yourself look no further.",Thoroughly enjoyable series.
